year,n_10k_filers,A_core,B_marketing,C_substance,D_aspirational,E_governance,F_hype_new
2001,6180,1.57,0.05,0.32,0.00,0.00,0.02
2002,6612,1.10,0.08,0.38,0.00,0.00,0.00
2003,8379,1.06,0.07,0.44,0.00,0.00,0.02
2004,8469,0.74,0.05,0.32,0.02,0.00,0.01
2005,8942,0.85,0.04,0.27,0.03,0.00,0.01
2006,8776,0.72,0.05,0.24,0.02,0.00,0.01
2007,8411,0.74,0.04,0.21,0.00,0.00,0.01
2008,8575,0.80,0.01,0.26,0.00,0.00,0.01
2009,9659,0.93,0.02,0.36,0.00,0.00,0.01
2010,8955,1.07,0.03,0.32,0.00,0.00,0.01
2011,8619,0.97,0.05,0.30,0.00,0.00,0.01
2012,8239,1.06,0.05,0.25,0.00,0.00,0.01
2013,7898,1.10,0.04,0.34,0.00,0.00,0.01
2014,7857,1.54,0.04,0.27,0.00,0.00,0.01
2015,7767,1.62,0.05,0.23,0.00,0.00,0.03
2016,7373,2.16,0.12,0.31,0.00,0.00,0.00
2017,7074,4.35,0.20,0.30,0.00,0.00,0.00
2018,6907,9.01,0.45,0.45,0.00,0.00,0.00
2019,6777,13.63,0.93,0.34,0.00,0.01,0.07
2020,6615,17.16,1.56,0.44,0.00,0.06,0.02
2021,6984,23.68,2.35,0.42,0.00,0.03,0.03
2022,7648,30.01,3.67,0.39,0.03,0.07,0.04
2023,7243,34.14,4.61,0.65,0.01,0.19,1.04
2024,6768,58.92,7.92,1.21,0.03,1.21,7.68
2025,6558,80.70,14.55,1.77,0.05,2.39,14.75
