year,term,n_10k_filers,mention_pct,marketing_pct
2001,AI,6180,0.793,0.0
2001,blockchain,6180,0.0,0.0
2001,cloud,6180,0.0,0.0
2001,quantum,6180,0.0,0.0
2002,AI,6612,0.529,0.0
2002,blockchain,6612,0.0,0.0
2002,cloud,6612,0.0,0.0
2002,quantum,6612,0.0,0.0
2003,AI,8379,0.442,0.0
2003,blockchain,8379,0.0,0.0
2003,cloud,8379,0.0,0.0
2003,quantum,8379,0.0,0.0
2004,AI,8469,0.331,0.0
2004,blockchain,8469,0.0,0.0
2004,cloud,8469,0.0,0.0
2004,quantum,8469,0.0,0.0
2005,AI,8942,0.38,0.0
2005,blockchain,8942,0.0,0.0
2005,cloud,8942,0.0,0.0
2005,quantum,8942,0.011,0.0
2006,AI,8776,0.319,0.0
2006,blockchain,8776,0.0,0.0
2006,cloud,8776,0.0,0.0
2006,quantum,8776,0.011,0.0
2007,AI,8411,0.404,0.0
2007,blockchain,8411,0.0,0.0
2007,cloud,8411,0.0,0.0
2007,quantum,8411,0.036,0.0
2008,AI,8575,0.408,0.0
2008,blockchain,8575,0.0,0.0
2008,cloud,8575,0.105,0.0
2008,quantum,8575,0.023,0.0
2009,AI,9659,0.507,0.0
2009,blockchain,9659,0.0,0.0
2009,cloud,9659,0.528,0.0
2009,quantum,9659,0.021,0.0
2010,AI,8955,0.67,0.0
2010,blockchain,8955,0.0,0.0
2010,cloud,8955,1.575,0.022
2010,quantum,8955,0.022,0.0
2011,AI,8619,0.522,0.0
2011,blockchain,8619,0.0,0.0
2011,cloud,8619,2.703,0.012
2011,quantum,8619,0.023,0.0
2012,AI,8239,0.57,0.0
2012,blockchain,8239,0.0,0.0
2012,cloud,8239,3.411,0.036
2012,quantum,8239,0.036,0.0
2013,AI,7898,0.494,0.0
2013,blockchain,7898,0.0,0.0
2013,cloud,7898,3.9,0.038
2013,quantum,7898,0.051,0.0
2014,AI,7857,0.598,0.013
2014,blockchain,7857,0.025,0.0
2014,cloud,7857,4.264,0.0
2014,quantum,7857,0.051,0.0
2015,AI,7767,0.528,0.013
2015,blockchain,7767,0.103,0.0
2015,cloud,7767,6.231,0.064
2015,quantum,7767,0.077,0.0
2016,AI,7373,0.705,0.054
2016,blockchain,7373,0.163,0.0
2016,cloud,7373,16.465,0.095
2016,quantum,7373,0.068,0.0
2017,AI,7074,1.64,0.071
2017,blockchain,7074,0.565,0.0
2017,cloud,7074,11.168,0.085
2017,quantum,7074,0.113,0.0
2018,AI,6907,4.257,0.29
2018,blockchain,6907,3.359,0.116
2018,cloud,6907,7.123,0.058
2018,quantum,6907,0.116,0.0
2019,AI,6777,6.566,0.708
2019,blockchain,6777,3.305,0.148
2019,cloud,6777,24.008,0.089
2019,quantum,6777,0.428,0.0
2020,AI,6615,8.435,1.194
2020,blockchain,6615,3.371,0.166
2020,cloud,6615,25.261,0.121
2020,quantum,6615,0.287,0.0
2021,AI,6984,12.142,1.804
2021,blockchain,6984,4.324,0.172
2021,cloud,6984,23.368,0.129
2021,quantum,6984,0.487,0.0
2022,AI,7648,15.115,2.994
2022,blockchain,7648,6.446,0.118
2022,cloud,7648,14.501,0.144
2022,quantum,7648,0.928,0.0
2023,AI,7243,17.879,3.728
2023,blockchain,7243,6.751,0.138
2023,cloud,7243,13.627,0.138
2023,quantum,7243,1.284,0.014
2024,AI,6768,35.993,6.693
2024,blockchain,6768,6.693,0.118
2024,cloud,6768,14.17,0.133
2024,quantum,6768,1.965,0.015
2025,AI,6558,50.686,12.885
2025,blockchain,6558,7.197,0.183
2025,cloud,6558,15.172,0.091
2025,quantum,6558,2.699,0.03
