year,n_10k_filers,n_prefunded_warrant,pct_prefunded_warrant,n_ownership_blocker,pct_ownership_blocker,n_paired_structure,pct_paired_structure,n_reverse_split,pct_reverse_split
2001,6180,0,0.0,2,0.032,0,0.0,786,12.718
2002,6612,0,0.0,3,0.045,0,0.0,889,13.445
2003,8379,0,0.0,4,0.048,0,0.0,1136,13.558
2004,8469,0,0.0,7,0.083,0,0.0,996,11.761
2005,8942,0,0.0,2,0.022,0,0.0,971,10.859
2006,8776,0,0.0,4,0.046,0,0.0,859,9.788
2007,8411,0,0.0,10,0.119,0,0.0,995,11.83
2008,8575,0,0.0,19,0.222,0,0.0,1149,13.399
2009,9659,0,0.0,33,0.342,0,0.0,1780,18.428
2010,8955,0,0.0,39,0.436,0,0.0,1623,18.124
2011,8619,0,0.0,39,0.452,0,0.0,1494,17.334
2012,8239,0,0.0,62,0.753,0,0.0,1525,18.51
2013,7898,0,0.0,57,0.722,0,0.0,1506,19.068
2014,7857,2,0.025,84,1.069,1,0.013,1501,19.104
2015,7767,7,0.09,94,1.21,1,0.013,1520,19.57
2016,7373,15,0.203,93,1.261,1,0.014,1347,18.269
2017,7074,17,0.24,95,1.343,1,0.014,1269,17.939
2018,6907,30,0.434,125,1.81,1,0.014,1283,18.575
2019,6777,52,0.767,124,1.83,4,0.059,1251,18.459
2020,6615,99,1.497,179,2.706,11,0.166,1427,21.572
2021,6984,149,2.133,204,2.921,23,0.329,1575,22.552
2022,7648,205,2.68,202,2.641,28,0.366,1669,21.823
2023,7243,319,4.404,266,3.673,38,0.525,1693,23.374
2024,6768,477,7.048,335,4.95,96,1.418,1675,24.749
2025,6558,562,8.57,367,5.596,130,1.982,1570,23.94
